Freq,Input,Offset,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing
446.77500,441.775,-5.00000,88.5,"Boothwyn ",PA,Delaware,W3KG,OPEN,16.5,WSW
146.92500,146.325,-0.60000,131.8,"Willingboro ",NJ,Burlington,WB2YGO,OPEN,16.9,E
442.05000,447.05,+5.00000,118.8,"Willingboro ",NJ,Burlington,WB2YGO,OPEN,16.9,E
444.20000,449.2,+5.00000,131.8,"Falls Township / Oxford Valley ",PA,Bucks,W3BXW,OPEN,16.9,NE
145.29000,144.69,-0.60000,91.5,"Medford ",NJ,Burlington,K2AA,OPEN,17.3,ESE
448.67500,443.675,-5.00000,131.8,"Norristown ",PA,Montgomery,N3CB,OPEN,17.7,NW
146.97000,146.37,-0.60000,131.8,"Feasterville-Trevose Lower Southampton Township",PA,Bucks,W3PHL,OPEN,18.1,NNE
147.16500,147.765,+0.60000,162.2,"Horsham ",PA,Montgomery,K3JJO,OPEN,18.4,N
444.55000,449.55,+5.00000,100.0,"Horsham Horsham Township",PA,Montgomery,WA3TSW,OPEN,18.4,N
145.39000,144.79,-0.60000,91.5,"Monroe Township ",NJ,Gloucester,K2DX,OPEN,18.9,SSE
146.79000,146.19,-0.60000,131.8,"Southampton ",PA,Bucks,W3SK,OPEN,18.9,NNE
448.22500,443.225,-5.00000,131.8,"Southampton ",PA,Bucks,W3SK,OPEN,18.9,NNE
448.32500,443.325,-5.00000,127.3,"Westampton ",NJ,Burlington,KC2QVT,OPEN,19.0,E
147.15000,147.75,+0.60000,127.3,"Westampton ",NJ,Burlington,KC2QVT,OPEN,19.0,E
145.13000,144.53,-0.60000,131.8,"Paoli ",PA,Chester,WB3JOE,OPEN,20.1,WNW
147.09000,147.69,+0.60000,131.8,"Warminster Township Building",PA,Bucks,K3DN,OPEN,20.4,N
147.34500,147.945,+0.60000,127.3,"Waterford Works ",NJ,Camden,WA3BXW,OPEN,20.6,SE
442.30000,447.3,+5.00000,131.8,"Waterford Works ",NJ,Camden,KA2PFL,OPEN,20.6,SE
443.30000,448.3,+5.00000,,"Waterford Works ",NJ,Camden,WR3IRS,OPEN,20.6,SE
146.73000,146.13,-0.60000,131.8,"Wilmington ",DE,New Castle,W3DRA,OPEN,20.7,WSW
448.37500,443.375,-5.00000,131.8,"Wilmington ",DE,New Castle,W3DRA,OPEN,20.7,WSW
145.15000,144.55,-0.60000,91.5,"Winslow ",NJ,Camden,K2AX,OPEN,20.8,SE
146.76000,146.16,-0.60000,131.8,"Valley Forge Schuylkill Township",PA,Chester,W3PHL,OPEN,21.3,NW
443.80000,448.8,+5.00000,131.8,"Valley Forge Schuylkill Township",PA,Chester,N3KZ,OPEN,21.3,NW
146.83500,146.235,-0.60000,88.5,"Eagleville ",PA,Montgomery,AA3E,OPEN,21.9,NW
449.92500,444.925,-5.00000,100.0,"Eagleville ",PA,Montgomery,K3CX,OPEN,21.9,NW
146.79000,147.39,+0.60000,131.8,"Richboro ",PA,Bucks,N3TS,OPEN,22.2,NNE
147.00000,147.6,+0.60000,131.8,"Warrington ",PA,Bucks,WA3ZID,OPEN,23.3,N
445.33125,440.33125,-5.00000,127.3,"Tabernacle Tabernacle Emergency Services Building",NJ,Burlington,KC2QVT,OPEN,23.8,ESE
448.42500,443.425,-5.00000,,"Wilmington ",DE,New Castle,WR3IRS,OPEN,23.9,WSW
146.95500,146.355,-0.60000,131.8,"Wilmington ",DE,New Castle,WA3UYJ,OPEN,24.0,WSW
444.40000,449.4,+5.00000,100.0,"Wilmington Wilmington Hospital",DE,New Castle,W3CER,OPEN,24.1,WSW
147.30000,147.9,+0.60000,131.8,"Fairless Hills Falls Township",PA,Bucks,W3BXW,OPEN,24.1,NE
447.12500,442.125,-5.00000,,"Fairless Hills Falls Township",PA,Bucks,W3BXW,OPEN,24.1,NE
146.94000,146.34,-0.60000,131.8,"West Chester ",PA,Chester,W3PHL,OPEN,24.4,W
446.52500,441.525,-5.00000,100.0,"West Chester ",PA,Chester,W3EOC,OPEN,24.4,W
440.20000,445.2,+5.00000,,"Charlestown ",PA,Chester,WR3IRS,OPEN,24.8,WNW
